TITLE: Bill of Materials
DATE: 12/13/2021
DESIGN: 4t4r_dcdc_primary_cutout_yfk37
TEMPLATE: c:/cadence/spb_17.4/share/cdssetup/template.bom
CALLOUT: bom.callouts

Part Name,Ref Des,Qty,Unit Price,Cost
"RES_PHOENIX_0402-150K,1%,1/10W,N8K3X,RK73H1ERTTP1503F","R8_DC0,R23_DC0",2,?,?
"RES_PHOENIX_0402-1K58,1%,1/10W,UP057,RK73H1ETTP1581F","R13_DC0,R14_DC0",2,?,?
"RES_PHOENIX_0402-1M65,1%,1/16W,TM73J,RMCF0402FT1M65",R22_DC0,1,?,?
"RES_PHOENIX_0402-3K,1%,1/16W,6R5CN,RC0402FR-073KL",R15_DC0,1,?,?
"RES_PHOENIX_0402-470R,1%,1/16W,J4CGF,RC0402FR-07470RL","R43_DC0,R44_DC0",2,?,?
"RES_PHOENIX_0402-4K22,1%,1/10W,906RP,RK73H1ETTP4221F",R18_DC0,1,?,?
"RES_PHOENIX_0402-6K2,1%,1/10W,T21FG,RK73H1ETTP6201F",R19_DC0,1,?,?
"RES_PHOENIX_0603-16K9,1%,1/10W,7XP0G,RK73H1JTTD1692F",R28_DC0,1,?,?
"RES_PHOENIX_0603-26K1,1%,1/10W,C0VYH,AF0603FR-0726K1L",R29_DC0,1,?,?
"RES_PHOENIX_0603-50R,2%,1.5W,XGR7G,RCP0603W50R0GEB","R1,R38_DC0",2,?,?
"RES_PHOENIX_0603-8K25,1%,1/10W,73JXP,RMCF0603FT8K25",R26_DC0,1,?,?
"RES_PHOENIX_0805-120R,1%,1/8W,6RH09,RC0805FR-07120RL","R6_DC0,R7_DC0",2,?,?
"RES_PHOENIX_1206-154K,1%,1/4W,Y2VRH,RMCF1206FT154K",R35_DC0,1,?,?
"RES_PHOENIX_1206-191K,1%,1/4W,W6M39,RK73H2BTTD1913F",R25_DC0,1,?,?
"RES_PHOENIX_1206-200K,1%,1/4W,46TC1,RMCF1206FT200K",R27_DC0,1,?,?
"RES_PHOENIX_1206-6K34,1%,1/4W,82YRG,RMCF1206FT6K34","R9_DC0,R10_DC0,R11_DC0",3,?,?
"RES_PHOENIX_2010-0.0017,5%,1/2W,FV8T0,WSL20101L700JBA","R1_DC0,R37_DC0",2,?,?
"SN74LVC1G17_SC70-SN74LVC1G17DCKR,9DYDH,SOT65P210X110-5_DS,TI",U8_DC0,1,?,?
"TESTPOINT_PHOENIX_SMT-NPR--NEEDED,TP_075X075_SM,TPSM_075X075","TP1_DC0,TP2_DC0,TP3_DC0,TP4_DC0,TP5_DC0,TP6_DC0,TP7_DC0,TP8_DC0,TP9_DC0,TP10_DC0,TP11_DC0,TP12_DC0,TP13_DC0,TP14_DC0,TP15_DC0,TP16_DC0,TP17_DC0,TP18_DC0,TP19_DC0,TP20_DC0,TP21_DC0,TP22_DC0,TP23_DC0,TP24_DC0",24,?,?
"TRANSISTOR_PNP_SOT-PMBTA56,215,MHFN8,SOT95P230X110-3_DS,NEXPERIA",U5_DC0,1,?,?
