Part Name,Ref Des,Var Status,Qty,PART_NUMBER,DESCRIPTION,MFG_PN,MANUFACTURER,PRT_NUMBER,
"GDT_2035_SMT-2035-09-SM,VKTP1,SMT_GDT2035_400P500X500X460-2_DS,BOURNS",GDT1_DC0,Pref,1,VKTP1,GDT 90V SMT,2035-09-SM,BOURNS,VKTP1,
"INDUCTOR_PHOENIX_SMT-844R2,470NH,20%,VLS201610CX-R47M-1",L2_DC0,Pref,1,844R2,?,VLS201610CX-R47M-1,?,844R2,
"INDUCTOR_SMT-6F2XV,10UH,20%",L7_DC0,Pref,1,6F2XV,?,?,?,6F2XV,
"ISO1640BD_SOIC-ISO1640BD,W7N4K,SOIC127P599X175-8N_DS-ISO,TI",U14_DC0,Pref,1,W7N4K,Hot-Swappable Bidirectional I2C Isolators with Enhanced EMC and GPIOs,ISO1640BD,TI,W7N4K,
"LM5051_SOIC-LM5051,1N080,SOIC127P599X175-8N_DS,TI",U4_DC0,Pref,1,1N080,FET controller,LM5051,TI,1N080,
"LM5066_SOP-LM5066PMHX-NOPBX,WPDGP,SOP65P640X110-28N_DS,TI",U12_DC0,Pref,1,WPDGP,Hot swap controller with PMBUS,LM5066PMHX-NOPBX,TI,WPDGP,
"LMR36006_QFN-LMR36006BRNXR,F3TMD,QFN50_65P200X300X090-12_DS,TI",U19_DC0,Pref,1,F3TMD,"60-V, 0.6-A step down converter",LMR36006BRNXR,TI,F3TMD,
"LT1763IDE_PBF_DFN-LT1763IDE#PBF,85CV8,ANALOG DEVICES,SON50P400X300X80-13_DS",U9_DC0,Pref,1,85CV8,LOW NOISE3.3V 0.5A LDO,LT1763IDE#PBF,ANALOG DEVICES,85CV8,
"MAX5075_SOP-MAX5075AAUA,816X5,SOP65P490X110-9N,MAXIM",U15_DC0,Pref,1,816X5,Push-Pull FET Driver,MAX5075AAUA,MAXIM,816X5,
"NTMTSC002N10MC_DFN-NTMTSC002N10MC,X647C,DFN200P800X790X102-8_DS,ON SEMI","U1_DC0, U2_DC0, U6_DC0",Pref,3,X647C,MOSFET,NTMTSC002N10MC,ON SEMI,X647C,
"PAT6562NL_SOIC-PAT6562NL,KY7H9,SOIC250P1800X1250-10_DS,PULSE",T1_DC0,Pref,1,KY7H9,"Transformer, push pull, 12 Watts",PAT6562NL,PULSE,KY7H9,
"PKU4213D_TH-PKU4213DPIPHSLA,T04M9,TH_DCDC_CONV_3302X2286X1320-6,FLEX",PS2_DC0,Pref,1,T04M9,DCDC CONVERTER THRU HOLE,PKU4213DPIPHSLA,FLEX,T04M9,
"PS2801-1_SOIC-PS2801-1,3TTYD,SOIC127P700X210-4N_DS,RENESAS","U10_DC0, U13_DC0, U18_DC0",Pref,3,3TTYD,optocoupler,PS2801-1,RENESAS,3TTYD,
"PTVS1_TH-PTVS1-066C-TH,W5YMF,TH_TVS_DIODE_600X700X850,BOURNS",D4_DC0,Pref,1,W5YMF,PTVS VWM 66V 1KA BIDIR,PTVS1-066C-TH,BOURNS,W5YMF,
"PTVS3_SMT-PTVS3-058C-SH,HTR8C,SMT_TVS_DIODE_1080X900X750_DS,BOURNS",D2_DC0,Pref,1,HTR8C,TVS DIODE 58V 110V SMD,PTVS3-058C-SH,BOURNS,HTR8C,
"RES_0201-127K,1%,1/20W,X2CFN",R54_DC0,Pref,1,X2CFN,?,?,?,X2CFN,
"RES_0402-23.2K,1%,1/16W,R2DWK",R21_DC0,Pref,1,R2DWK,?,?,?,R2DWK,
"RES_0402-4.75K,1%,1/16W,W7HXG","R16_DC0, R17_DC0",Pref,2,W7HXG,?,?,?,W7HXG,
"RES_0402-4.7K,1%,1/16W,9DHJH",R39_DC0,Pref,1,9DHJH,?,?,?,9DHJH,
"RES_PHOENIX_0402-10K5,1%,1/10W,PG8XK,RK73H1ETTP1052F",R20_DC0,Pref,1,PG8XK,?,RK73H1ETTP1052F,?,PG8XK,
"RES_PHOENIX_0402-110K,1%,1/16W,YG227,RK73H1ET-1103F",R33_DC0,Pref,1,YG227,?,RK73H1ET-1103F,?,YG227,
"RES_PHOENIX_0402-115K,1%,1/16W,M487Y,RC0402FR-07115KL",R40_DC0,Pref,1,M487Y,?,RC0402FR-07115KL,?,M487Y,
"RES_PHOENIX_0402-150K,1%,1/10W,N8K3X,RK73H1ERTTP1503F","R8_DC0, R23_DC0",Pref,2,N8K3X,?,RK73H1ERTTP1503F,?,N8K3X,
"RES_PHOENIX_0402-1K2,1%,1/16W,5PNYR,RC0402FR-071K2L",R45_DC0,Pref,1,5PNYR,?,RC0402FR-071K2L,?,5PNYR,
"RES_PHOENIX_0402-1M65,1%,1/16W,TM73J,RMCF0402FT1M65",R22_DC0,Pref,1,TM73J,?,RMCF0402FT1M65,?,TM73J,
"RES_PHOENIX_0402-3K,1%,1/16W,6R5CN,RC0402FR-073KL",R15_DC0,Pref,1,6R5CN,?,RC0402FR-073KL,?,6R5CN,
"RES_PHOENIX_0402-470R,1%,1/16W,J4CGF,RC0402FR-07470RL","R43_DC0, R44_DC0",Pref,2,J4CGF,?,RC0402FR-07470RL,?,J4CGF,
"RES_PHOENIX_0402-4K22,1%,1/16W,0PRP8,RMCF0402FT4K22",R18_DC0,Pref,1,0PRP8,?,RMCF0402FT4K22,?,0PRP8,
"RES_PHOENIX_0402-6K2,1%,1/10W,T21FG,RK73H1ETTP6201F",R19_DC0,Pref,1,T21FG,?,RK73H1ETTP6201F,?,T21FG,
"RES_PHOENIX_0603-10R,1%,1/4W,46NC9,RCS060310R0FKEA","R41_DC0, R42_DC0",Pref,2,46NC9,?,RCS060310R0FKEA,?,46NC9,
"RES_PHOENIX_0603-16K9,1%,1/10W,7XP0G,RK73H1JTTD1692F",R28_DC0,Pref,1,7XP0G,?,RK73H1JTTD1692F,?,7XP0G,
"RES_PHOENIX_0603-26K1,1%,1/10W,C0VYH,AF0603FR-0726K1L",R29_DC0,Pref,1,C0VYH,?,AF0603FR-0726K1L,?,C0VYH,
"RES_PHOENIX_0603-50R,2%,1.5W,XGR7G,RCP0603W50R0GEB","R38_DC0, R49_DC0",Pref,2,XGR7G,?,RCP0603W50R0GEB,?,XGR7G,
"RES_PHOENIX_0603-8K25,1%,1/10W,73JXP,RMCF0603FT8K25",R26_DC0,Pref,1,73JXP,?,RMCF0603FT8K25,?,73JXP,
"RES_PHOENIX_1206-154K,1%,1/4W,Y2VRH,RMCF1206FT154K",R35_DC0,Pref,1,Y2VRH,?,RMCF1206FT154K,?,Y2VRH,
"RES_PHOENIX_1206-191K,1%,1/4W,W6M39,RK73H2BTTD1913F",R25_DC0,Pref,1,W6M39,?,RK73H2BTTD1913F,?,W6M39,
"RES_PHOENIX_1206-200K,1%,1/4W,46TC1,RMCF1206FT200K",R27_DC0,Pref,1,46TC1,?,RMCF1206FT200K,?,46TC1,
"RES_PHOENIX_1206-6K34,1%,1/4W,82YRG,RMCF1206FT6K34","R9_DC0, R10_DC0, R11_DC0, R51_DC0, R52_DC0",Pref,5,82YRG,?,RMCF1206FT6K34,?,82YRG,
"RES_PHOENIX_2010-0.0017,5%,1/2W,FV8T0,WSL20101L700JBA",R1_DC0,Pref,1,FV8T0,?,WSL20101L700JBA,?,FV8T0,
"SN74LVC1G17_SC70-SN74LVC1G17DCKR,9DYDH,SOT65P210X110-5_DS,TI",U8_DC0,Pref,1,9DYDH,IC SINGLE SCHMITT TRIGGER BUFFER,SN74LVC1G17DCKR,TI,9DYDH,
"TPS1H200AQDGNRQ1_VSSOP-TPS1H200AQDGNRQ1,CHWRW,SOP65P490X110-9N_DS,TI",U17_DC0,Pref,1,CHWRW,?,TPS1H200AQDGNRQ1,TI,CHWRW,
"TRANSISTOR_PNP_SOT-PMBTA56,215,MHFN8,SOT95P230X110-3_DS,NEXPERIA",U5_DC0,Pref,1,MHFN8,TRANS PNP 80V 500MA TO236AB,"PMBTA56,215",NEXPERIA,MHFN8,
"TVS_BIDIRECT_2PINS_SMT-15KPA020C,8MPR8,SMT_TVS_2PINS_485X850X350_DS,BOURNS","D12_DC0, D13_DC0",Pref,2,8MPR8,31.6V Clamp 475.5A Ipp Tvs Diode Surface Mount DO-218,15KPA020C,BOURNS,8MPR8,
